seed_generation,corpus_id,openalex_id,title,doi,families,discovery_systems,occurrence_count,seed_basis
0,CWC-A413CA902805,W4385976804,The comparative effects of chronic microplastic and sediment deposition on the scleractinian coral Merulina ampliata,10.1016/j.marenvres.2023.106135,MECH_FEEDING_MUCUS_CORAL | SED_DEPOSITION | SED_DREDGING | SED_SUSPENDED,Grey literature | OpenAlex | Semantic Scholar | Web of Science,12,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-2E7899F8542E,W2525255284,Mucous Secretion and Cilia Beating Defend Developing Coral Larvae from Suspended Sediments,10.1371/journal.pone.0162743,MECH_FEEDING_MUCUS_CORAL | SED_DREDGING | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,9,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-90C33F877CE5,W2053876996,Sediment-rejection mechanisms of 42 species of Australian scleractinian corals,10.1071/mf9920683,MECH_FEEDING_MUCUS_CORAL | SED_DEPOSITION,OpenAlex | Semantic Scholar | Web of Science,5,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-67ACFDAD860A,W2008727311,"Effects of turbidity on calcification rate, protein concentration and the free amino acid pool of the coral Acropora cervicornis",10.1007/bf00397003,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,9,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-85C653AA21DB,W2123657965,Coral mucus release and following particle trapping contribute to rapid nutrient recycling in a Northern Red Sea fringing reef,10.1071/mf09250,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-20B3F92CE246,W2759811397,Additive negative effects of anthropogenic sedimentation and warming on the survival of coral recruits,10.1038/s41598-017-12607-w,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DREDGING | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,12,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-BE52410755F7,W2106360792,Composition of mucus released by coral reef coelenterates1,10.4319/lo.1979.24.4.0706,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-D5A9EA1ABD9E,W4402098421,Coral mucus promotes the carbon metabolic potency of microorganisms in the coral reef ecosystem,10.1002/lno.12673,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-646B2BAE163A,W2164104449,Degradation and mineralization of coral mucus in reef environments,10.3354/meps267159,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-600ED6F6AADF,W7123591220,"Coral mucus input promotes sedimentary organic matter degradation: Evidence from a typical coral reef area, northern South China Sea",10.1016/j.envres.2026.123775,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
